Location,Time,s,Y
江苏省,2012,0.621918697966748,0.6109517469543422
江苏省,2013,0.66423928833811,0.6478674491491255
江苏省,2014,0.657157644020216,0.6598971980044298
江苏省,2015,0.676806499492416,0.6692052845940497
江苏省,2016,0.753314941761279,0.7237174360924276
江苏省,2017,0.684805120247335,0.7113083370231417
江苏省,2018,0.734049814468582,0.714999366267686
江苏省,2019,0.81984307611182,0.7866537120033258
江苏省,2020,0.831293996064387,0.8268641755353185
江苏省,2021,0.844860710230407,0.8396123887703335
江西省,1990,0.0117919657677604,0.0117919657677604
江西省,1991,0.0516054096599748,0.03620346712459675
江西省,1992,0.070780234885753,0.063362399918929
江西省,1993,0.0908918393892591,0.08311160872908693
江西省,1994,0.110862820444125,0.10313699035982228
江西省,1995,0.146069085175845,0.13244944283213667
江西省,1996,0.168184023499444,0.159628797527141
江西省,1997,0.193923718546656,0.18396624526028102
江西省,1998,0.246861711920549,0.22638250057449494
江西省,1999,0.257984362594163,0.2536815339571863
江西省,2000,0.28492293015777,0.2745016696729113
江西省,2001,0.318385687566189,0.30544052592493365
江西省,2002,0.358047246355474,0.34270406099854134
江西省,2003,0.334704160366734,0.3437344987109954
江西省,2004,0.41708699338436,0.3852169631635569
江西省,2005,0.445683224942585,0.43462069248795676
江西省,2006,0.418219869911625,0.4288441459014308
江西省,2007,0.444998824247204,0.4346393105876797
江西省,2008,0.499688150186416,0.47853143092106704
江西省,2009,0.562343890507071,0.5381053414746672
江西省,2010,0.531815027015973,0.5436252035591844
江西省,2011,0.551077461718057,0.5436257347793838
江西省,2012,0.597012652688883,0.5792424951109643
江西省,2013,0.605698857239142,0.6023385746246609
江西省,2014,0.631187802266852,0.6213273323294355
江西省,2015,0.674564936183341,0.6577843701579587
江西省,2016,0.709368348046817,0.6959045504660915
江西省,2017,0.714640600784885,0.7126010150127136
江西省,2018,0.732769832266087,0.7257564881745793
江西省,2019,0.824361344023845,0.7889289105815008
江西省,2020,0.762122659716864,0.786199869459604
江西省,2021,0.861330917537026,0.8229519244984481
河北省,1990,0.0323001513966198,0.0323001513966198
河北省,1991,0.035434024755627,0.03422167704917753
河北省,1992,0.0791774694783068,0.06225519508922913
河北省,1993,0.109939516165781,0.09803913204845158
河北省,1994,0.129272367418628,0.12179339963961633
河北省,1995,0.154994226587982,0.14504365316102588
河北省,1996,0.197204024846851,0.1808750458976039
河北省,1997,0.225130085969412,0.2143268108291459
河北省,1998,0.246433811159353,0.23819240526507113
河北省,1999,0.232679477203608,0.23800037990602935
河北省,2000,0.296837342597193,0.2720176922635088
河北省,2001,0.309020416524991,0.30430736017527643
河北省,2002,0.376369313696988,0.3503152037618505
河北省,2003,0.359427712122415,0.3659816182505877
河北省,2004,0.404826650321884,0.387263943633952
河北省,2005,0.42134880174348,0.41495716108448144
河北省,2006,0.443671595703843,0.4350359601949583
河北省,2007,0.454349709680772,0.45021885131282663
河北省,2008,0.480657950673372,0.4704805337919819
河北省,2009,0.52072096099479,0.5052224729856831
河北省,2010,0.616955201554328,0.5797267154417867
河北省,2011,0.608117636065088,0.6115364730837196
河北省,2012,0.569054264251425,0.5841660392975873
河北省,2013,0.602777595471796,0.5897316301198953
河北省,2014,0.662805422936318,0.639583489369477
河北省,2015,0.639120532413853,0.6482830988015114
河北省,2016,0.704564213973836,0.6792471420465931
河北省,2017,0.740125635358388,0.7263685996665237
河北省,2018,0.794697096032482,0.7735859732758195
河北省,2019,0.809955866077614,0.8040529680507085
河北省,2020,0.869331941750114,0.8463621401936369
河北省,2021,0.866243459744059,0.8674382476781948
河南省,1990,0.0203342910306167,0.0203342910306167
河南省,1991,0.0654107233079347,0.04797277894133654
河南省,1992,0.0839278521940119,0.07676444890250911
河南省,1993,0.111534206348688,0.1008546107464406
河南省,1994,0.144810646802076,0.13193756239790982
河南省,1995,0.160561029638355,0.15446794982312176
河南省,1996,0.187617587160094,0.17715068192870642
河南省,1997,0.233903749249956,0.21599781750937988
河南省,1998,0.201090148918349,0.21378418232210347
河南省,1999,0.238667897824069,0.2241308401703365
河南省,2000,0.285623110573058,0.26745835470681645
河南省,2001,0.328100306828789,0.3116678842138069
河南省,2002,0.334153526476259,0.331811821462828
